,u,w,lap,m,k,fsq,t,vol
224,-11679.885,1623.5625,1883066.8,2048.0,2105.5718,1315592.0,1125.0,2154.4937
225,-11695.791,1477.082,1871695.6,2048.0,2137.8694,1367155.8,1130.0,2154.1265
226,-11697.175,1614.4279,1881892.5,2048.0,2144.39,1275434.8,1135.0,2153.174
227,-11802.135,1206.81,1853268.8,2048.0,2206.9155,1287568.0,1140.0,2149.5032
228,-11792.846,1196.2344,1849539.6,2048.0,2081.6448,1272700.0,1145.0,2151.4834
229,-11764.937,1401.3276,1868627.0,2048.0,2207.603,1291365.0,1150.0,2149.6582
230,-11744.458,1434.6234,1869373.2,2048.0,2163.2146,1272115.2,1155.0,2151.545
231,-11660.096,1713.349,1890380.9,2048.0,2158.6226,1421894.0,1160.0,2155.7212
232,-11700.9,1619.0236,1884733.5,2048.0,2174.4895,1339325.4,1165.0,2151.9963
233,-11693.501,1497.6646,1870414.9,2048.0,2118.798,1280678.8,1170.0,2156.3867
234,-11711.849,1484.8708,1872056.8,2048.0,2148.1917,1325565.4,1175.0,2154.0046
235,-11706.552,1596.1047,1881924.0,2048.0,2103.458,1328925.1,1180.0,2153.1514
236,-11705.864,1752.3269,1897895.6,2048.0,2109.0034,1310574.2,1185.0,2149.857
237,-11708.5205,1169.0073,1838722.8,2048.0,2111.8372,1265261.4,1190.0,2162.0461
238,-11691.774,1465.961,1868151.8,2048.0,2170.1892,1333207.0,1195.0,2155.8591
239,-11688.581,1523.0262,1873290.9,2048.0,2183.6655,1347077.5,1200.0,2155.3174
240,-11666.362,1147.5876,1832592.8,2048.0,2126.9895,1241298.6,1205.0,2165.4336
241,-11642.934,1224.574,1837363.6,2048.0,2052.4387,1311312.1,1210.0,2168.988
242,-11744.816,2069.8142,1935928.8,2048.0,2191.4526,1404789.2,1215.0,2136.6228
243,-11671.242,1414.1592,1860061.9,2048.0,2201.4753,1320847.1,1220.0,2160.9143
244,-11589.228,1341.0673,1843813.4,2048.0,2201.1016,1347437.0,1225.0,2172.43
245,-11641.769,1186.913,1833390.2,2048.0,2233.459,1289622.0,1230.0,2169.4954
246,-11729.4375,1292.5115,1853394.8,2048.0,2217.9705,1305752.4,1235.0,2155.8125
247,-11679.562,936.0791,1813144.9,2048.0,2052.1658,1319929.2,1240.0,2169.2927
248,-11761.394,1657.2467,1893251.6,2048.0,2101.7583,1262316.1,1245.0,2144.6826
249,-11695.134,1583.5706,1879738.6,2048.0,2159.1028,1359808.2,1250.0,2154.2854
250,-11745.734,996.6628,1825356.8,2048.0,2127.6624,1248226.1,1255.0,2159.8074
251,-11694.788,1172.6183,1837203.5,2048.0,2121.6675,1283601.5,1260.0,2162.4583
252,-11787.203,1109.7286,1840740.5,2048.0,2183.4155,1234849.1,1265.0,2152.5735
253,-11751.762,1426.133,1869620.8,2048.0,2105.39,1303177.2,1270.0,2151.3442
